ʃʷʼ t͡sʼ aː ʁ a	ʂʷ ə t͡sʼ aː ʁ a
ħ a w a	ħ a w a
ɬ a w ə ʑ	ɬ a w ʑ
b a t ə r b ə f	b ə t ə r b f
ʁ a d͡ʒ ə d͡ʒ a n	ʁ a d͡ʒ ə d͡ʒ a n
ʔʷ a f ə n t͡ʂ a	ʔʷ a f ə n t͡ʂʼ a
ʁʷ ə t͡ʂʼ ə n a	ʁʷ ə t͡ʃʼ ə n a
p χ a n tʼ a kʷʼ	p χ a n tʼ a kʷʼ
t͡ʃ a m ə ʃʷ a	t͡ʃ a m ə ʂʷ a
w a r ə	w a r ə
p aː p t͡ʃʼ a	p aː p t͡ʃʼ a
ʂ ħ aː n ʁʷ ə p t ʂ a	ʂ ħ aː n ʁʷ aː p q a
ʃ ə p χʷ	ʃ ə p χʷ
qʷ a ħ aː pʼ	qʷ a ħ aː pʼ a
ʃʷʼ a ʔʷ ə n	ʃʷʼ a ʔʷ ə n
qʷ a z ə n	qʷ a z ə n
χ a r a j n	χ a r a j n
χ aː ʁ a	χ aː ʁ a
t͡ʃ aː kʷʼ a	t͡ʃʼ aː kʷʼ a
j a χ ə r χ ə ʃ a n	j a χ ə r χ ə a a n
w n aː ʁʷ a t͡sʼ a	w ə n ʁʷ a t͡ʃʼ a
z a ʁ a n	z a ʁ a n
ʃʷʼ ə ɬ a ʁʷ ə n	ʂʷ ə ɬ a ʁʷ ə n
n ə b aː t͡ʂ	n ə b aː ʁ
d a f a n	d a f a n
p sʼ ə r ə j	p s ə r ə j
d ə w	d ə w
p s a w a n ʁ a	p s a w a ʁ a
q a ʁ a ɬ a ʁʷ a n ə	q a ʁ a ɬ a ʁʷ a n ə
b z aː d͡ʒ a	b z aː d͡ʒ a
ʁ a p t͡sʼ aː kʷʼ a	ʁ a p t͡sʼ aː kʷʼ a
ʁ a t͡ʃʼ ə n	ʁ a t͡ʃʼ ə n
ʔ a ʂ ħ a χʷ	ʔ a ʂ ħ a χʷ
ɕ ə w aː n	ɕ ə w ə n
ɕ x ə p t͡sʼ ə n	ɕ x ə p t͡sʼ ə n
b ʁʷ a t a n	b ʁʷ a t a n
kʷ ə ɬ a ʃʷ	kʷ ə ɬ a ʃʷ
qʷ a ʂʷ a t͡ʃ a ʁ a z	qʷ a ʂ a t͡ʃ a ʁ a z
b l a w ə n	b l a w ə n
ʐʷ a t ə n	ʐʷ a t ə n
t͡ʃ a m ə	t͡ʃ a m ə
ħ aː b l ə w	ħ aː b l ə w
d aː d ə w	d aː d ə w
p ɬ ə ʑ ɡʲ a f	p ʂ ə ʑ ə ʂ f
ɬ ə kʷʼ a ʂ a n	ɬ ə kʷʼ a ʂ a n
z a p a t͡ʂʼ a t͡ʃʼ ə n	z a p a t͡ʃ a t͡ʃʼ ə n
ʃ ə b z ə	ʃ ə b z ə
b z a ɡʷ ə ħ	b z a ɡʷ ə ħ
z a d͡z a t͡ʃʼ aː kʷʼ a	z a d͡z a t͡ʃ aː kʷʼ a
z a p ə kʲʼ ə n	z a p ə kʲʼ ə n
ɡʷ ə m ə ʔʷ	ɡʷ ə m ə ʔʷ
q a b ə	q a b ə
ʐʷ ə n	ʐ ə n
p ʂ a b ə d a ɬ	p ʂ a b ə d a ɬ
d a j aː ɬ	d a b ɬ
ɕ a r a χ	ɕ a ɕ a χ
ʁʷ a ɣ ə n	ʁʷ a n ə n
b ə l ə m ə l ə	b ə l ə m ə p
b ɣ ə r ə p x ə ʂ ħ	b ə ə ə ə p x ə ħ
qʷ a p s	qʷ a p s
p ə n d͡ʒ	p ə n d͡ʒ
b ʑ ə n ə f ɕ ə ʁʷ	b ʑ ə n ə f ə ʁʷ
p ɕ ə ɬʼ	p ɕ ə ɬʼ ə
x aː s a	x aː s a
t͡sʼ ə f ə ʂ ħ a	t͡sʼ ə f ə ʂ ħ a
ɡʷ aː d͡z	ɡʷ ə d͡z a z
q a j ħ a x ə n	q a j ħ a x ə n
pʷʼ aː n t͡ʃ a	pʷʼ aː n t͡ʃ a
ɬʼ a w ə ʒ	ɬʼ a w ʒ
z ə	z ə
q a j ɬ a ɬ a x ə n	q a j l a l a x ə n
t͡ʃʼ a t ə l	t͡ʃʼ a t ə l
b a ɕ	b a ɕ
m a ʁ a ʁ a n	ʁ a ʁ a n
t χ ə n	t χ ə n
n a ʔʷ	n a ɡʷ ə
ɡʲ ə j	ɡʲ ə j
ħ a ʐ	ħ a ʐ
t ħ a t͡ʃʷ	t ħ a kʷ
j a n a qʷ a qʷ a n	j a n a qʷ a qʷ ə n
j a pʼ a s t χ ə n	j a pʼ a s t ə n
d a z a kʷʼ a n	d a z a kʷʼ a n
p ʂ a	p ʂ a
b ʁʷ ə z a	b ʁʷ ə z a
t χ a ʑ ə n	t χ a ʑ ə n
qʷ a ʂʷ a f ə	qʷ a ʂʷ a f ə
b ʐ aː qʷ a	b ʐ aː qʷ a
z a qʷ a ʃ n ə ʁ	z a qʷ a n ə ʁ
ʂʷ aː j a	ʃʷ aː j a
m aː	m aː ʑ a
w a r a d aː ʔʷ	w a r a ɬʼ
t͡ʃ ə r b ə t͡ʃ	t͡ʃ ə r b ə s
d a j ʂ a n	d a j qʷ a n
t ħ a kʷʼ m a p ə ɬ	t ħ a kʷʼ m a p ə ɬ
j a b ɣ ə n	b ɣ a n
t͡ʃ ə p ɬ	t͡ʃ ə p ɬ
