k o n d u t͡ʃʲ	k o n d u t͡ʃʲ
f r u m o̯ a s e	f r u m o̯ a s e
p a l m a	p a l m a
k a i s e	k a j s e
i n f o r m a t i k a	i n f o r m a t i k a
a t a k	a t a k
e ɡ z i s t a m	e ɡ z i s t a m
s i m p l u	s i m p l u
e k s p r i m a t	e k s p r i m a t
o f i t ʃ i a l	o f i t͡ʃ i a l
n e ɡ o t͡ʃ i a t	n e ɡ o t͡ʃ i a t
r e k u n o s k u t	r e k u n o s k u t
b a r b a	b a r b a
d o r m	d o r m
p r i m j a w	p r i m j a w
k a p e t e	k a p e t e
p l a n t a t	p l a n t a t
p i k a t	p i k a t
a ʒ u t o r	a ʒ u t o r
s k r i w	s k r i u
p o t a b i l e	p o t a b i l e
d e t͡ʃ e d a t	d e t͡ʃ e d a t
a m i n t i r e	a m i n t i r e
f a n t o m a	f a n t o m a
m a s i v	m a s i v
e ɡ z i s t	e ɡ z i s t
a l k o o l	a l k o o l
f i	f iː
k u m v a	k u m v a
v a	v a
b a j e	b a j e
k o n v i n d͡ʒ e	k o n v i n d͡ʒ e
b a t e m	b a t e m
m o t i v e	m o t i v e
ʒ o s	ʒ o s
k a n a l e	k a n a l e
h a j	h a j
s u f l e t	s u f l e t
l u k r e z	l u k r e z
h e k t a r e	d͡ʒ e k t a r e
s a k r i f i t͡ʃ e	s a k r i f i t͡ʃ e
k r e a t	k r e a t
o p r e̯ a	o p r e̯ a
f e r m e	f e r m e
b a b a	b a b a
k a l t͡ʃ e	k a l e
k o m p l e k s e	k o m p l e s e
t͡ʃ u d a t	t͡ʃ i u d a t
e f e k t e	e z e t͡ʃ t e
p o r n i t	p o r n i t
r e v i s t e	r e v i s t e
o k u p a m	o k u p a m
f e t e j	f e t e j
z i l n i k	z i l n i k
v o r b i	v o r b i
r e p a r a t	r e p a r a t
p l i k t i s i	p l i k t i s i
i n s p i r a t	i n s p i r a t
p e r f e k t a	p e r f e k t a
r e v i n	r e v i n
d i n k o l o	d i n k o l o
t e m	t e m
k a r	k a r
d i k t a t u r a	d i k t a t u r a
f u l d͡ʒʲ	f u l d͡ʒʲ
s u k	s u k
b e n zʲ	b e n zʲ
k o s t e	k o s t e
r a d	r a d
p r i e t e n u l u j	p r i e t e n u l u j
j e r a w	j e r a w
a k t͡ʃ e p t	a k t͡ʃ e p t
e ɡ z a m e n	e k s a m e n
t r e j	t r e i
m u t a t	m u t a t
l i m b a	l i m b a
p l a t	p l a t
p r i j o r i t a t e	p r i o r i t a t e
k o p i j	k o p i
a l e s	a l e s
f u s t a	f u s t a
k a p i t a l a	k a p i t a l a
a m s t e r d a m	a m s t e r d a m
v i n	v i n
k o m p u s e	k o m p u s e
r i d i k	r i d i k
ʒ a p o n e z	ʒ a p o n e z
k a u t e	k a u t e
t e n t a t	t e n t a t
d e̯ a	d e̯ a
u n d e	u n d e
s o r i n	s o r i n
f a n t a s m e	f a n t a s m e
a r a w	a r a w
s u f l e t e l e	s u f l e t e l e
p e r f e k t	p e r f e k t
k o n d u k	k o n d u k
e k s p r i mʲ	e k s p r i m sʲ
d a n s a	d a n s a
a v e̯ a m	a v e̯ a m
