r ɔ m áː n	r ɔ m áː n
ʃ t ɛ ʋ ìː l ɔ	ʃ t ɛ ʋ ìː l ɔ
t íː p k a	t íː p k a
a p a r t m áː	a p áː r t t a
a l u m ìː n i j	a l u m i n i j
a n a t ɔ m íː j a	a n a t ɔ m íː j a
k a k ɔ̀ː ʋ ɔ s t	k á k ɔ b óː s t
n a p r áː ʋ a	n a p r áː ʋ a
s t á	s t á
k ɔ n d óː m	k ɔ n d ɔ m
s k ɔ d éː l i t͡s a	s k ɔ d èː l i t͡s a
s r ɛ b r óː	s r èː b r ɔ
íː ɡ r a	íː ɡ r a
t	t áː
k òː ʒ a	k óː ʒ a
p r àː z ə n	p r áː z ə n
b óː d ɔ	b óː d ɔ
u ʒ ìː ʋ a t i	u ʒ i ʋ àː t i
k a t ɛ ɡ ɔ r íː j a	k a t ɛ ɡ óː r i j a
s p r ɛ m éː m b a	s p r ɛ m éː m b a
i ɡ r àː t i	i ɡ r àː t i
m íː x a ɛ l a	m i x áː ɛ̀ː l a
ʋ ə̀ r s t a	ʋ r s t a
m èː s t ɔ	m ɛ̀ː s t ɔ
ʋ íː l a	ʋ ìː l a
d ɔ ʋ ɔ́ l	d ɔ ʋ ɔ́ l
p áː p ɛ ʃ	p áː p ə ɔ
b áː m b u s	b áː m b u s
f íː n s k i	f i n s k i
ʒ àː r a	ʒ áː r a
s t ɔ́ ʋ	s t ɔ́ ʋ
s l ɔ ʋ èː n ə t͡s	s l ɔ ʋ èː n ə t͡s
ɔ ɡ l á s	ɔ ɡ l áː s
n í t	n íː t
k r	k r úː x
i n ʃ t i t úː t	i n ʃ t íː t u t
s í t	s íː t
áː n ɡ l i j a	a n ɡ l íː j a
b r úː t ɔ	b r úː t ɔ
m ɛ d i t͡s íː n a	m ɛ d i t͡s ìː n a
d i j àː k	d i j àː k
ɔ ɡ l ɛ d àː l ɔ	ɔ ɡ l ɛ d áː l ɔ
n á j b óː l j ɛ	n á j b óː l j ɛ
ùː l i t͡s a	u l i t͡s a
b ɛ t óː n	b èː t ɔ n
b ɔ ʋ n ìː k	b óː l n i k
f r a n t͡s óː s k ɔ	f r a n t͡s èː n k ɔ
k ɔ́ n	k ɔ́ n j
p r ɛ t	p ə́ ɛ t
t ɛ̀ː t͡ʃ i	t ɛ̀ː t͡ʃ i
m ɔ̀ː t͡ʃ i	m òː t͡ʃ i
p ɔ m óː t͡ʃ	p ɔ m ɔ t͡ʃ
ʒ ʋ èː t͡ʃ i t i	ʒ ʋ èː t͡ʃ i t i
j áː n u a r	j á n u a r
n ɔ́ ʋ	n ɔ́ ʋ
ɔ d d áː j n i k	ɔ d d áː j n i k
r a z u m èː t i	r a z u m ɛ t i
r u d àː r	r u d a r
z a x ɔ́ t	z a x óː t
n á j ʋ éː t͡ʃ j i	n á j ʋ éː t͡ʃ j i
l j u b éː z ə n	l j u b éː z ə n
ɡ r ɔ́ m	ɡ r ɔ́ m
s éː k s	s èː k s
d èː l a ʋ ə t͡s	d ɛ l áː ʋ ə t͡s
ʋ íː r	ʋ íː r
z ʋ éː z ə k	z ʋ èː z ə k
p r áː x	p ə́ áː x
z a p ɔ́ r	z á p ɔ r
s p ɔ̀ː d a j	s p ɔ d a j
n ɔ ʋ ɛ̀ː m b ə r	n ɔ ʋ èː m b ə r
ɡ r ɔ́ f	ɡ r ɔ́ p
d íː r k a	d íː r k a
ʋ óː s ə k	ʋ ɔ̀ː s ə k
b ɔ ɡ áː s t ʋ ɔ	b ɔ ɡ áː s t ʋ ɔ
m u s l i m áː n s k i	m u s l i m áː n s k i
x l àː t͡ʃ ɛ	x l àː t͡ʃ ɛ
k j éː r	k j èː r
a ʋ ɡ áː n i s t a n	a p ɡ a n i s t áː n
m l èː k ɔ	m l ɛ k óː
ʋ ìː d ɛ t i	ʋ i d èː t i
ʋ t͡ʃ èː r a j	ʋ t͡ʃ éː r a j
s ə r t͡s éː	s r íː ɛ
n i k óː l i	n i k ɔ l i
p ɔ ɡ ɔ́ j	p ɔ ɡ ɔ́ j
m ɛ r j àː s ə t͡s	m ɛ r j áː s ə t͡s
íː s t i	i s t íː
m àː r k ɔ	m a r k óː
j àː ʋ ɔ r	j àː ʋ ɔ r
b óː k	b óː k
ʋ ə́ r s t	ʋ r s t
p ɔ̀ː z n ɔ	p ɔ z n ɔ
k r ìː l ɔ	k r ìː l ɔ
p r i t íː s k	p r i t íː s k
b óː ʃ	b ɔ́ ʃ
m áː l t ɔ	m àː l t ɔ
p ɔ d ɡ àː n a	p ɔ d ɡ áː n a
s i n óː t͡ʃ i	s i n ɔ t͡ʃ i
ɡ ɔ r ìː t͡s a	ɡ ɔ r ìː t͡s a
m àː l ɔ	m a l óː
ɡ l èː d a t i	ɡ l èː d a t i
